status,product_area,response,justification,request_type
replied,screen,"Thank you for reaching out!

**Why is the Greenhouse Integration page not showing in my HackerRank account?** You do not have admin access to your HackerRank account. Only admins can access the integration settings page. **Why don’t I see the ATS Settings updated message after I click Test and Save?** Verify that you entered the correct Greenhouse User ID and Harvest API Token in HackerRank. **Why am I the only user who can’t send tests through Greenhouse?** Check the following: - Your HackerRank and Greenhouse login email addresses match. - You have a Recruiter or Company Admin access in HackerRank. - You have **Send Test** permissions in HackerRank. - The test you are trying to send is active (not expired or deleted). \

*(Source: hackerrank/integrations/applicant-tracking-systems/greenhouse/1406188460-greenhouse---hackerrank-integration-guide.md)*

**Additional context:** the knowledge of a technical topic or an ability to perform a technical task that can be assessed in a given period of time. Click here to learn more. Tests Term Section Definition Test General Online assessments available on the HackerRank platform that companies use to assess candidates for various roles. Tests were formerly known as CodeScreen. Active Tests General Tests that are in the published state can be used to send invites to candidates. Archived Test General Tests that are not in use can be archived. Archiving a test removes it from the active test list without deleting it. You can restore a test that is archived and use it in your hiring process. Click here to learn more. Starred Tests General You can use this feature to make a particular test appear at the top of your tests tab. This will help you find important tests quickly. Test Sections General Logical categories within a test are used to group questions of similar type or that can test a candidate on a particular concept. Click here to learn more. Locked Test General Tests in this status are not editable by anyone within the company. Test owners or company admins can lock a test to prevent anyone from making any changes to its questions and settings. Click here to learn more. Try Test General A feature within the test that allows the Recruiters to perform a trial run of their tests before inviting candidates. During the trial, you can validate",Grounded response synthesized from top BM25 document: 'hackerrank/integrations/applicant-tracking-systems/greenhouse/1406188460-greenhouse---hackerrank-integration-guide.md'. Score: 48.75. Key content extracted.,product_issue
replied,general_support,"Thank you for reaching out!

Steps to Create Accessible Content at HackerRank  Overview The candidate site is now Accessible as per WCAG 2.1( Level AA)**.** Thus it becomes imperative that the questions are also accessible so that *accessibility* is not impacted. If you are a recruiter trying to create a question for your assessment, below are the steps that will help in creating accessible questions. - After you have created an assessment, head over to the ‘Questions’ tab and open a question in view mode.  In case you are the owner of the question you would be able to open the question in edit mode and update the endpoint to view mode as shown below.  - Run this question through axe. You can install this extension and run it to fix the violations if any. This will catch most of the violations. The below steps highlight how to use this tool to identify the issues and fix them. Steps to Run axe: 1. Install the Axe extension. 2. Once you install the extension, you will need to restart the browser. 3. Open the dev tools by clicking on inspect in the context menu. You can open the context menu by right-click.  4. Now you should be able to see *axe dev tools* in the developer menu.  5. Click on ‘Scan’ in the left panel to run the *axe Dev tools*.

*(Source: hackerrank/library/manage-question/4968606472-steps-to-create-accessible-content-at-hackerrank.md)*

**Additional context:** to run JavaScript code directly on the websites you visit. This is what allows Claude to interact with pages on your behalf: clicking buttons, filling forms, and reading page content. However, this also means that when JavaScript execution is enabled for a site, Claude can access the same data your browser can on that page, including login sessions, stored website data, and other information the site uses to keep you signed in. If Claude were ever manipulated through a prompt injection attack (see above), this capability could potentially be used to read your credentials or take actions within your logged-in sessions. While we apply output filters that attempt to block common sensitive data patterns such as authentication tokens and API keys from being returned to Claude, **these filters are not a security boundary.** The primary protection is the **per-domain permission system**: Claude must ask for your approval before running JavaScript on any website, and each domain requires separate permission. This gives you direct control over where Claude can use this capability. Other risks **Unintended actions:** Claude may misinterpret instructions or make errors, potentially causing irreversible changes to your data or accounts. **Probabilistic behavior:** Claude's responses are probabilistic, meaning the same request might produce different results. Harmful actions could occur repeatedly. **Financial risks:** Even with safeguards, there's risk of unintended purchases, incorrect transactions, or exposure of financial information. **Privacy risks:** Claude may inadvertently access, expose, or share personal information across different websites or services, including to bad actors. ---",Grounded response synthesized from top BM25 document: 'hackerrank/library/manage-question/4968606472-steps-to-create-accessible-content-at-hackerrank.md'. Score: 18.43. Key content extracted.,bug
replied,screen,"Thank you for reaching out!

hiring, SkillUp expands guided learning with an AI Engineer Certification and a weekly Prompt Engineering Challenge, helping developers build modern skills with confidence. Screen Test Variant Updates Test Variant Overview When you create a variant of an existing test, you now see a clear overview that explains how test variants work. This helps you get oriented before setup, whether you are new to variants or need a quick refresher. !Variant Test Overview.gif Add Time to Candidate Attempts You can now grant time accommodations to candidates taking variant-based tests. Time adjustments can be applied at the section level for each candidate. For bulk updates, select multiple candidates from the same test variant. The relevant test sections will be displayed, allowing you to add time where applicable. Time adjustments can only be applied when all selected candidates belong to the same variant. If candidates from different variants are selected, the Add time option is disabled and you’ll be prompted to filter your selection to a single variant before proceeding. !Add time to candidate attempts.gif Simplified Test Variant Logic Creation Creating test variant criteria is now more intuitive. The redesigned Add Variant Logic workflow lets you route candidates to different test variants based on their answers to a qualifying question. !create variant updated.gif For more information, see Adding extra time in variant-based tests, 📄 Create Test Variants. Improved Navigation in Detailed Reports

*(Source: hackerrank/general-help/release-notes/2321596225-january-2026-release-notes.md)*

**Additional context:** Create Test Variants  Test variants allow you to create a single assessment that adapts to different candidate profiles. You can design multiple variants within the same assessment to personalize the evaluation based on roles, skills, or other criteria. This approach eliminates the need to manage separate tests, improves efficiency, and ensures candidates are assessed on the most relevant content. Creating test variants To create test variants: !Variant Test Overview.gif 1. Log in to your **HackerRank for Work** account using your credentials. 2. Go to the **Tests** tab. 3. Open the test you want to modify. 4. Go to the **Questions** tab. 5. Click the more option menu (**⋮**) in the top right corner. 6. Select **Create Variants.** 7. Click **Create Variants.** The system converts the existing test into **Variant 1** and opens **Variant 2**, where you can start creating the second version. To add more variants, select the **+** icon next to the tabs. **Note:** A variant-based test requires at least two variants. Renaming a variant To rename a test variant: 1. Click the more option menu (**⋮**) next to the variant name. 2. Select **Rename**.  3. Enter the new name. 4. Click **Save**. Adding questions or sections to a variant To add questions or sections: 1. Select the variant tab (for example, Variant 2). 2. Click **Add New**. 3. Choose one of the following options:  - **Add Skill-Based Questions**: Use HackerRank-curated questions grouped by skill.",Grounded response synthesized from top BM25 document: 'hackerrank/general-help/release-notes/2321596225-january-2026-release-notes.md'. Score: 90.96. Key content extracted.,product_issue
replied,screen,"Thank you for reaching out!

to familiarize yourself with the environment. Test Expiration Date: To begin, please click the “Start Challenge” button below. We wish you the best and hope you enjoy completing our challenge! Preparation Checklist Your Candidates' experience is a key factor in hiring. Before or as part of inviting your Candidates to take up Tests using HackerRank, you can: - Recommend the HackerRank Sample Test to your Candidates. Candidates can find the sample test on their login page. - Suggest that they familiarize themselves with the HackerRank environmentand its various capabilities for writing and executing code and solving your challenges. - Give Browser recommendations for the best experience. - Ask them to check their network coverage before taking the Test. Provide them with an Internetcompatibility check to check their connectivity. - If it is a proctored test, ask them to sit in a well-lit area and face straight at the camera. - Inform them to log in at least a few minutes before the test expiration time so that they have enough time to fill out the confirmation form. - Show the invigilation methods you used to monitor these online assessments. - Provide precise instructions on how to log in to the Test and give credentials if necessary. - Explain how the Candidates will be assessed on these Tests.

*(Source: hackerrank/uncategorized/9695299159-onboarding-candidates.md)*

**Additional context:** the recruiting process, please reach out to our Recruiting team at &lt; recruiting@CompanyName.com .&gt; We hope you enjoy the challenge and look forward to receiving your results! Invitation Template 2 Subject: &lt;Company&gt; &lt;Test Name&gt; Assessment Invitation Email Body: Hi &lt;Candidate&gt; , Thanks so much for your interest in joining the &lt;Company&gt; team! We’re excited to move you forward in our interview process. For your next step, please complete our online coding challenge, administered by HackerRank. This exercise is used to evaluate your technical skillset, and the correctness and completeness of your solution will be evaluated based on the number of passed test cases. Once complete, we’ll review your results and get back to you within &lt;days/weeks&gt; about the next steps. A few helpful things to note before you begin the challenge: Accommodations- If you have a medical condition or disability that limits your ability to complete the code challenge, please reach out to &lt;team email address&gt; to request an accommodation. Time Limit- Please note the time limit/duration below. Once started, the timer cannot be paused . After the timer ends, you will not be able to update your solution, but you’re welcome to utilize the full duration. Internet Connectivity- Please make sure you have a stable internet connection for the duration of your challenge. Local Editor/IDE- You will submit your solution in the HackerRank code editor, but you can use your own local editor/IDE while working. How to familiarize yourself with the HackerRank system- You are welcome to take this &lt;Insert Sample Test of your choice&gt; to familiarize yourself with the environment. Test Expiration Date: To begin, please click the “Start Challenge” button below. We wish you the best and hope you enjoy completing our challenge!",Grounded response synthesized from top BM25 document: 'hackerrank/uncategorized/9695299159-onboarding-candidates.md'. Score: 130.09. Key content extracted.,product_issue
replied,hackerrank_community,"Thank you for reaching out!

Manage Account FAQs Account sign-in Update or reset password Merge multiple HackerRank accounts Delete an account  Account sign-in **What happens to Google Auth sign-in if my company email domain changes?** If your company changes its email domain, create a new HackerRank account using your new company email. Then, merge your existing account with the new one and set the new account as your primary login. Update or reset password **How do I update my password if I sign up using a third-party sign-up method?** HackerRank does not store a separate password for your account if you sign up using a third-party provider such as Google or GitHub.\ To update your password, change it in your Google or GitHub account settings.\ If you cannot access your third-party account, contact HackerRank support at help@hackerrank.com for assistance. **What should I do if I do not receive the activation email?** If you do not receive the activation email: - Check your **Spam or Junk** folder. - Verify that you entered the correct email address during sign-up. If you still do not receive the email, contact HackerRank support at help@hackerrank.com for assistance. Merge multiple HackerRank accounts **Are certifications merged when I combine multiple accounts?** No. HackerRank does not merge certifications across accounts. Delete an account **How do I delete an account created using Google or GitHub if I do not have a password?**

*(Source: hackerrank/hackerrank_community/account-settings/manage-account/1917106962-manage-account-faqs.md)*

**Additional context:** Delete an Account  You can delete your HackerRank Community account if you no longer want to use the platform. Deleting your account permanently removes all your data, such as your profile page, earned badges, leaderboard positions, and so on. **Note**: If you signed up using a third-party account (for example, Google, GitHub, or Facebook), you must set a password before deleting your account. To do this, follow the steps in the Resetting password documentation. Deleting an account To delete your HackerRank Community account: 1. Log in to the HackerRank Community using your credentials. 2. Click the profile icon in the top-right corner. 3. Select **Settings** from the drop-down menu. The **Settings** page appears under the **Account** section. 4. Scroll to the **Delete Accounts** section.  5. Click **Delete Account**. A confirmation dialog box appears. 6. Select a reason for deleting your account from the available options: - I get too many emails - I want to clear all my submissions - I have multiple accounts - I don’t use HackerRank anymore - Other reasons 7. Click **Proceed to Delete**. 8. Enter your **account password**. 9. Click **Proceed to delete** again to confirm and complete the process. **Note:** If you accidentally delete your account, contact help@hackerrank.com to recover it. \",Grounded response synthesized from top BM25 document: 'hackerrank/hackerrank_community/account-settings/manage-account/1917106962-manage-account-faqs.md'. Score: 47.29. Key content extracted.,product_issue
replied,privacy-and-legal,"Thank you for reaching out!

available by call or text. For other countries, a directory of services worldwide maintained by ThroughLine can be found at claude.findahelpline.com. Does talking to a helpline actually make a difference? Studies consistently show that crisis counseling reduces distress and helps people feel more grounded. Responders are specifically trained to help during difficult moments, including supporting people through thoughts of self-harm. I'm not in a crisis. Is it still okay to call? Absolutely. Many people reach out when they're stressed, lonely, or just having a hard day. You don't need to meet some threshold of ""bad enough"" to deserve support. Can I call about someone else I'm worried about? Yes. Helplines support people who are concerned about others too. They can offer guidance on how to approach the situation and be helpful to the person you care about. Are there options besides phone calls? Many helplines offer text and online chat alongside traditional phone support. You can use whatever channel feels most comfortable to you. Will the helpline contact my family or anyone else? Generally, no. Conversations with support personnel are kept confidential. The main exception is if a responder believes there's an immediate, serious safety risk - and even then, they'll typically try to work with you first. Different helplines have slightly different policies, so feel free to ask when you connect. What about non-English speakers or people outside the United States?

*(Source: claude/safeguards/13171706-crisis-helpline-support-in-claude.md)*

**Additional context:** try to work with you first. Different helplines have slightly different policies, so feel free to ask when you connect. What about non-English speakers or people outside the United States? Helplines exist in countries around the globe, many offering support in local languages. You can locate services in your region on claude.findahelpline.com. Is it okay to contact a helpline multiple times? Yes, though some services have guidelines around frequency. Feel free to ask about their approach when you're connected. Does Anthropic send my Claude conversations to helplines? No. Your interactions with Claude remain with Anthropic. Helpline personnel have no access to your messages, account information, or anything else related to your use of Claude. When you contact a helpline, that's a completely separate conversation. What if I have to wait to speak with someone? High demand sometimes means wait times. If that happens, you can stay on the line, try reaching out via a different method (chat instead of phone, for instance), or contact an alternative helpline. claude.findahelpline.com lists multiple options for most locations. I feel nervous about reaching out. That's a common feeling. Helplines understand this and won't push you to share more than you're ready to. You control the pace and depth of the conversation. If it helps, you might start with something simple: ""I'm feeling nervous about this call."" How are the crisis resources in Claude selected?",Grounded response synthesized from top BM25 document: 'claude/safeguards/13171706-crisis-helpline-support-in-claude.md'. Score: 39.50. Key content extracted.,product_issue
replied,general_support,"I'm sorry, this request is outside the scope of what I can help with. I handle support for HackerRank, Claude, and Visa. If your question relates to one of these products, please describe your issue and I'll do my best to assist.",Ticket is out of scope or contains no actionable support request.,invalid
replied,fraud_support,"Thank you for reaching out!

BST [\[email protected\]](/cdn-cgi/l/email-protection#e793848694948e949386898482a793958691828b829fc984888a) Sumitomo Freephone: Japan +800-08006666 [\[email protected\]](/cdn-cgi/l/email-protection#ec989e8d9a8980899e9f8f84899d99899fac898dc29f818e8fc28f83c2869c) Request a refund Have your info ready Before a refund can be arranged, the issuer will ask a few simple questions: - What are the cheque serial numbers? - Where and when did you buy the cheques? - How and when do you think the cheques were lost or stolen? - Who is the issuer of the traveller's cheques? The refund can usually be arranged within 24 hours, subject to certain terms and conditions being satisfied. ------------------------------------------------------------------------ Keep cheques safe What to know when using Visa Traveller's Cheques. - Be as careful with your cheques as you would be with cash. - Do not countersign the cheques until you want to use them. - Keep your purchase agreement separate from your cheques. - Write down cheque serial numbers and emergency contact numbers for your destinations and keep them separate from your cheques. - Notify the police in case of loss/theft. - Do not use the cheques in any illegal game or prohibited activity. - Do not accept Visa Traveller's Cheques from a third party, if unknown to you and you have no recourse against that party. - Do not accept Visa Traveller’s Cheques that have been sent to you unsolicited or from an unknown source via mail or courier. Report their receipt immediately to the police. - DO NOT CASH Traveller's CHEQUES FOR THIRD PARTIES WHO ARE NOT KNOWN TO YOU. Still have questions? Contact us, we are here to help.

*(Source: visa/support/consumer/travelers-cheques.md)*

**Additional context:** Visa Traveller's Cheques for Consumers _Last modified: 2019-10-23T09:14:04.044Z_ Visa Traveller's Cheques Visa Traveller's Cheques offer convenience and security while you travel. Contact us about traveller’s cheques - Report a lost cheque - Request a refund - Keep cheques safe Report a lost cheque If your cheques are lost or stolen, they can be replaced or refunded subject to certain terms and conditions. You should immediately call the issuing bank. If you cannot find the issuing bank’s contact details, contact us about traveller’s cheques. Issuing banks Banco do Brasil UK +44-1733-457026 Monday-Friday, 8 am to 5 pm GMT or BST [\[email protected\]](/cdn-cgi/l/email-protection#b8ccdbd9cbcbd1cbccd9d6dbddf8cccad9ceddd4ddc096dbd7d5) Bank of America 1-214-209-0519 Monday-Friday, 8 am to 4:30 pm CST [\[email protected\]](/cdn-cgi/l/email-protection#691d1b081f0a01180d0c191d290b080702060f08040c1b000a08470a0604) Chase Manhattan UK +44-1733-457026 Monday-Friday, 8 am to 5 pm GMT or BST [\[email protected\]](/cdn-cgi/l/email-protection#1266717361617b6166737c71775266607364777e776a3c717d7f) Citicorp Freephone: 1-800-645-6556 Collect: 1-813-623-1709 Monday-Friday, 6:30 am to 2:30 pm EST Automated cheque verification is available 24 hours a day, 7 days a week (if you select the English or Spanish option). If you need to speak to a customer service representative you can do so. Outside these hours calls will be recorded and responded to the next business day. [citicorp.traveller'\[email protected\]](/cdn-cgi/l/email-protection#4d2e2439242e223f3d63393f2c3b282121283f3e632e25283c38283e0d2e243924632e2220) Interpayment Services Ltd UK+44-1733-279865 Monday-Friday, 8 am to 5 pm GMT or BST [\[email protected\]](/cdn-cgi/l/email-protection#e793848694948e949386898482a793958691828b829fc984888a) Sumitomo Freephone: Japan +800-08006666 [\[email protected\]](/cdn-cgi/l/email-protection#ec989e8d9a8980899e9f8f84899d99899fac898dc29f818e8fc28f83c2869c) Request a refund Have your info ready Before a refund can be arranged, the issuer will ask a few simple questions:",Grounded response synthesized from top BM25 document: 'visa/support/consumer/travelers-cheques.md'. Score: 56.83. Key content extracted.,product_issue
escalated,fraud_support,"This issue has been escalated to a human support agent who will be in touch shortly. Please do not share sensitive information such as card numbers, passwords, or personal identification in follow-up messages.",High-risk keyword detected: 'card stolen',product_issue
replied,general_support,"Thank you for reaching out!

use:** Planning future events, comparing year-over-year performance, or researching past fundraising activities. **Note:** Use specific keywords that match your event naming conventions for best results. Thank-You Letter Drafting Example prompt: ``` Draft a personalized thank-you email to Sarah Johnson for her recent $500 donation to the Building Fund campaign. ``` **When to use:** Following up on donations, acknowledging major gifts, or sending timely appreciation messages. **Key benefit:** Claude retrieves the donor’s information and gift details to create personalized, accurate communications. Constituent Search Example prompt: ``` Find all constituents named Williams in our database. ``` **When to use:** Locating donors when you have partial name information or searching for related family members. **Tip:** Start with partial searches and narrow down results based on additional identifying information. Tips for Using the Blackbaud Connector - Use full donor names for more accurate constituent lookups. - Specify time periods when requesting gift histories (e.g., “past 12 months,” “2024 fiscal year”). - Ask naturally—describe what you need as if asking a colleague. - Combine multiple requests when helpful (e.g., “Show me Jane’s profile and draft a thank-you for her last gift”). - Always review AI-generated communications before sending, especially those involving sensitive donor information. - Remember that Claude only accesses data your Blackbaud user account is authorized to view. Related Articles - Use connectors to extend Claude's capabilities - Getting started with Claude for Nonprofits - Using the Benevity Connector in Claude - Using the Candid Connector in Claude - Use interactive connectors in Claude

*(Source: claude/claude-for-nonprofits/12923221-using-the-blackbaud-connector-in-claude.md)*

**Additional context:** measures across multiple harmful queries. Thank you very much for helping us to keep Anthropic safe. How to block or remove content Blocking or removing websites from Claude web search Blocking or removing content from shared Claude content Blocking or removing content from Claude outputs or shared Claude content Related Articles - Claude is providing incorrect or misleading responses. What’s going on? - Does Anthropic crawl data from the web, and how can site owners block the crawler? - What is the External Researcher Access Program? - Reporting, Blocking, and Removing Content from Claude - Claude in Chrome Troubleshooting",Grounded response synthesized from top BM25 document: 'claude/claude-for-nonprofits/12923221-using-the-blackbaud-connector-in-claude.md'. Score: 16.75. Key content extracted.,product_issue
